userName,at,content
Pengguna Google,2024-12-09 16:44:17,Bagus👍👍👍👍👍
Pengguna Google,2024-12-09 16:43:28,Knp wondr by BNI tidak bisa dibuka ya keterangan nya fitur lagi tidak tersedia saya mohon kedepannya tidak terjadi gangguan lagi. Kalau udah normal saya kasih bintang 1m+
Pengguna Google,2024-12-09 16:42:58,Aplikasi sering eror....
Pengguna Google,2024-12-09 16:42:09,"Kalau pembaruan itu kasih info donk,,,,jngan main asal pembaruan aja , udah d perbarui pun ttp gk bisa login ,,,,lagi asik"" transaksi ter log out tiba"" ,,trus login lagi gk bisa,,,,,bunda kecewa, sorry terpaksa ku apus bintangnya😎😎😎"
Pengguna Google,2024-12-09 16:41:58,"Parah wondr bni, dikit2 trobel, gangguan"
Pengguna Google,2024-12-09 16:41:03,Apk cukup baik. Tapi sering perbaikan trus...tolong d perhatikan
Pengguna Google,2024-12-09 16:40:42,Apk asu sering kali gangguan mau transaksi ambil uang sendiri aja susah. Apk gagal.
Pengguna Google,2024-12-09 16:40:24,Suka gangguan GK jelas banget
Pengguna Google,2024-12-09 16:39:36,Sangat baik
Pengguna Google,2024-12-09 16:38:43,"Aplikasi payah, sering gangguan.. Gimana mau narik banyak nasabah kalau aplikasi sering gangguan?? Katanya mau mempermudah malah mempersulit"
Pengguna Google,2024-12-09 16:38:40,Sering bermasalah aplikasinya
Pengguna Google,2024-12-09 16:38:16,Aplikasi nya bagus tapi tiba-tiba jadi eror
Pengguna Google,2024-12-09 16:37:10,"sering gangguan, susah masuk ke aplikasi, kadang bagus, kadang gk bisa sama sekali dibuka 🤦🤦🤦"
Pengguna Google,2024-12-09 16:37:06,MAKIN BURUKKKKKKKKKK
Pengguna Google,2024-12-09 16:36:09,"Aplikasi gk jelas kebanyakan gk bisa nya,gk bisa di buat buru2 selalu coba lagi coba lagi dan coba lagi."
Pengguna Google,2024-12-09 16:35:43,Dikit2 gangguan payah
Pengguna Google,2024-12-09 16:35:37,aplikasi apa ini sering ngebug
Pengguna Google,2024-12-09 16:35:33,"lelet lagi, lelet lagi huhuhuhuhuhu"
Pengguna Google,2024-12-09 16:35:28,"Sering gangguan, buat pusing aja"
Pengguna Google,2024-12-09 16:34:48,Banyak errornya
Pengguna Google,2024-12-09 16:32:05,Sering maintenance tengah malem. Ganggu shoping midnight saya !!
Pengguna Google,2024-12-09 16:31:48,Kadang gak mau msuk.. Msih bgus pakai BNI bangking sperti dlu...
Pengguna Google,2024-12-09 16:31:17,"masih banyak bug, tbtb sesi anda abis pdhl baru login tbtb keluar sendiri modelan yaa hampir sama kayak bni lama dikit dikit perbaikan, kalo apk blom fix mending jngn di rilis apk yaa, di fix in dulu biar gak dikit dikit perbaikan mulu lahh menggangu kenyamanan penguna, padahl udah aktivisasi mala disuruh aktivisasi ulang, nih apklikasi udah ""FIX"" blom sih!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
Pengguna Google,2024-12-09 16:30:37,Terlalu sering maintenance
Pengguna Google,2024-12-09 16:29:44,Banyak gangguan nya
Pengguna Google,2024-12-09 16:28:55,Bner bner aplikasi ini klo lagi di butuhin darurat mau transaksi bnyak kndala parahhhhhhhhhhhhhggggggg.perbaikiiiii trusssss smpe bikin emosiiiiii
Pengguna Google,2024-12-09 16:27:30,Wonder terlalu sering gangguan msuk nya lemot
Pengguna Google,2024-12-09 16:27:12,"Payah gangguan gangguan, transaksi akhirnya dobel, buka yg lain lancar buka WONDER LELET"
Pengguna Google,2024-12-09 16:26:59,Banyak gangguan nya..
Pengguna Google,2024-12-09 16:26:52,"Aplikasi menguras energi, emosi dan waktu Saat login halaman yang termuat muncul pesan sesi anda berakhir....lah kan baru login Pakai BNI mobile banking lancar tanpa kendala Tapi ultima harus pindah wondr sampai 31 desember bikin panik kalau banyak kendala Halo BNI, nasabah belum tentu punya hp yang spek nya tinggi , tolong disesuaikan"
Pengguna Google,2024-12-09 16:26:31,Sebulan ini kenapa sering bermasalah ya? Gabisa login dll
Pengguna Google,2024-12-09 16:24:57,gangguan terus ganggu kerjaan jadinya
Pengguna Google,2024-12-09 16:24:30,Perbaikan trus.. bosan pakek nya
Pengguna Google,2024-12-09 16:23:59,Setiap cuaca hujan aplikasi ini tidak dpt melakukan transaksi.
Pengguna Google,2024-12-09 16:23:30,Aplikasi eror mulu
Pengguna Google,2024-12-09 16:23:04,Sangat memuaskan
Pengguna Google,2024-12-09 16:23:04,parah.. terlalu banyak update.. mau login pun susah. sudah pake sidik jari alasannya beda sidik jarinya. login pakai pin tp malah keluar sendiri dari aplikasi. mending pakai bni mobile banking. cpt dan gak lemot seperti wondr
Pengguna Google,2024-12-09 16:21:57,Gangguan mulu lah Gak jelas.
