content,case_folding,cleansing,normalized_reviews
Bagus👍👍👍👍👍,bagus👍👍👍👍👍,bagus,bagus
Knp wondr by BNI tidak bisa dibuka ya keterangan nya fitur lagi tidak tersedia saya mohon kedepannya tidak terjadi gangguan lagi. Kalau udah normal saya kasih bintang 1m+,knp wondr by bni tidak bisa dibuka ya keterangan nya fitur lagi tidak tersedia saya mohon kedepannya tidak terjadi gangguan lagi. kalau udah normal saya kasih bintang 1m+,knp wondr by bni tidak bisa dibuka ya keterangan nya fitur lagi tidak tersedia saya mohon kedepannya tidak terjadi gangguan lagi kalau udah normal saya kasih bintang m,kenapa wondr by bni tidak bisa dibuka ya keterangan nya fitur lagi tidak tersedia saya mohon kedepannya tidak terjadi gangguan lagi kalau sudah normal saya kasih bintang sama
Aplikasi sering eror....,aplikasi sering eror....,aplikasi sering eror,aplikasi sering eror
"Kalau pembaruan itu kasih info donk,,,,jngan main asal pembaruan aja , udah d perbarui pun ttp gk bisa login ,,,,lagi asik"" transaksi ter log out tiba"" ,,trus login lagi gk bisa,,,,,bunda kecewa, sorry terpaksa ku apus bintangnya😎😎😎","kalau pembaruan itu kasih info donk,,,,jngan main asal pembaruan aja , udah d perbarui pun ttp gk bisa login ,,,,lagi asik"" transaksi ter log out tiba"" ,,trus login lagi gk bisa,,,,,bunda kecewa, sorry terpaksa ku apus bintangnya😎😎😎",kalau pembaruan itu kasih info donkjngan main asal pembaruan aja  udah d perbarui pun ttp gk bisa login lagi asik transaksi ter log out tiba trus login lagi gk bisabunda kecewa sorry terpaksa ku apus bintangnya,kalau pembaruan itu kasih info donkjngan main asal pembaruan saja sudah di perbarui pun tetap enggak bisa login lagi asik transaksi ter log out tiba terus login lagi enggak bisabunda kecewa sorry terpaksa ku hapus bintangnya
"Parah wondr bni, dikit2 trobel, gangguan","parah wondr bni, dikit2 trobel, gangguan",parah wondr bni dikit trobel gangguan,parah wondr bni dikit trobel gangguan
Apk cukup baik. Tapi sering perbaikan trus...tolong d perhatikan,apk cukup baik. tapi sering perbaikan trus...tolong d perhatikan,apk cukup baik tapi sering perbaikan trustolong d perhatikan,apk cukup baik tapi sering perbaikan trustolong di perhatikan
Apk asu sering kali gangguan mau transaksi ambil uang sendiri aja susah. Apk gagal.,apk asu sering kali gangguan mau transaksi ambil uang sendiri aja susah. apk gagal.,apk asu sering kali gangguan mau transaksi ambil uang sendiri aja susah apk gagal,apk asu sering kali gangguan mau transaksi ambil uang sendiri saja susah apk gagal
Suka gangguan GK jelas banget,suka gangguan gk jelas banget,suka gangguan gk jelas banget,suka gangguan enggak jelas banget
Sangat baik,sangat baik,sangat baik,sangat baik
"Aplikasi payah, sering gangguan.. Gimana mau narik banyak nasabah kalau aplikasi sering gangguan?? Katanya mau mempermudah malah mempersulit","aplikasi payah, sering gangguan.. gimana mau narik banyak nasabah kalau aplikasi sering gangguan?? katanya mau mempermudah malah mempersulit",aplikasi payah sering gangguan gimana mau narik banyak nasabah kalau aplikasi sering gangguan katanya mau mempermudah malah mempersulit,aplikasi payah sering gangguan bagaimana mau menarik banyak nasabah kalau aplikasi sering gangguan katanya mau mempermudah malah mempersulit
Sering bermasalah aplikasinya,sering bermasalah aplikasinya,sering bermasalah aplikasinya,sering bermasalah aplikasinya
Aplikasi nya bagus tapi tiba-tiba jadi eror,aplikasi nya bagus tapi tiba-tiba jadi eror,aplikasi nya bagus tapi tibatiba jadi eror,aplikasi nya bagus tapi tibatiba jadi eror
"sering gangguan, susah masuk ke aplikasi, kadang bagus, kadang gk bisa sama sekali dibuka 🤦🤦🤦","sering gangguan, susah masuk ke aplikasi, kadang bagus, kadang gk bisa sama sekali dibuka 🤦🤦🤦",sering gangguan susah masuk ke aplikasi kadang bagus kadang gk bisa sama sekali dibuka ,sering gangguan susah masuk ke aplikasi kadang bagus kadang enggak bisa sama sekali dibuka
MAKIN BURUKKKKKKKKKK,makin burukkkkkkkkkk,makin burukkkkkkkkkk,makin burukkkkkkkkkk
"Aplikasi gk jelas kebanyakan gk bisa nya,gk bisa di buat buru2 selalu coba lagi coba lagi dan coba lagi.","aplikasi gk jelas kebanyakan gk bisa nya,gk bisa di buat buru2 selalu coba lagi coba lagi dan coba lagi.",aplikasi gk jelas kebanyakan gk bisa nyagk bisa di buat buru selalu coba lagi coba lagi dan coba lagi,aplikasi enggak jelas kebanyakan enggak bisa nyagk bisa di buat buru selalu coba lagi coba lagi dan coba lagi
Dikit2 gangguan payah,dikit2 gangguan payah,dikit gangguan payah,dikit gangguan payah
aplikasi apa ini sering ngebug,aplikasi apa ini sering ngebug,aplikasi apa ini sering ngebug,aplikasi apa ini sering ngebug
"lelet lagi, lelet lagi huhuhuhuhuhu","lelet lagi, lelet lagi huhuhuhuhuhu",lelet lagi lelet lagi huhuhuhuhuhu,lelet lagi lelet lagi huhuhuhuhuhu
"Sering gangguan, buat pusing aja","sering gangguan, buat pusing aja",sering gangguan buat pusing aja,sering gangguan buat pusing saja
Banyak errornya,banyak errornya,banyak errornya,banyak errornya
Sering maintenance tengah malem. Ganggu shoping midnight saya !!,sering maintenance tengah malem. ganggu shoping midnight saya !!,sering maintenance tengah malem ganggu shoping midnight saya ,sering maintenance tengah malam ganggu shoping midnight saya
Kadang gak mau msuk.. Msih bgus pakai BNI bangking sperti dlu...,kadang gak mau msuk.. msih bgus pakai bni bangking sperti dlu...,kadang gak mau msuk msih bgus pakai bni bangking sperti dlu,kadang enggak mau masuk masih bagus pakai bni bangking seperti dulu
"masih banyak bug, tbtb sesi anda abis pdhl baru login tbtb keluar sendiri modelan yaa hampir sama kayak bni lama dikit dikit perbaikan, kalo apk blom fix mending jngn di rilis apk yaa, di fix in dulu biar gak dikit dikit perbaikan mulu lahh menggangu kenyamanan penguna, padahl udah aktivisasi mala disuruh aktivisasi ulang, nih apklikasi udah ""FIX"" blom sih!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!","masih banyak bug, tbtb sesi anda abis pdhl baru login tbtb keluar sendiri modelan yaa hampir sama kayak bni lama dikit dikit perbaikan, kalo apk blom fix mending jngn di rilis apk yaa, di fix in dulu biar gak dikit dikit perbaikan mulu lahh menggangu kenyamanan penguna, padahl udah aktivisasi mala disuruh aktivisasi ulang, nih apklikasi udah ""fix"" blom sih!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!",masih banyak bug tbtb sesi anda abis pdhl baru login tbtb keluar sendiri modelan yaa hampir sama kayak bni lama dikit dikit perbaikan kalo apk blom fix mending jngn di rilis apk yaa di fix in dulu biar gak dikit dikit perbaikan mulu lahh menggangu kenyamanan penguna padahl udah aktivisasi mala disuruh aktivisasi ulang nih apklikasi udah fix blom sih,masih banyak bug tbtb sesi anda habis padahal baru login tbtb keluar sendiri modelan ya hampir sama kayak bni lama dikit dikit perbaikan kalo apk belum fix mending jangan di rilis apk ya di fix ini dulu biar enggak dikit dikit perbaikan mulu lah menggangu kenyamanan penguna padahal sudah aktivisasi mala disuruh aktivisasi ulang nih apklikasi sudah fix belum sih
Terlalu sering maintenance,terlalu sering maintenance,terlalu sering maintenance,terlalu sering maintenance
Banyak gangguan nya,banyak gangguan nya,banyak gangguan nya,banyak gangguan nya
Bner bner aplikasi ini klo lagi di butuhin darurat mau transaksi bnyak kndala parahhhhhhhhhhhhhggggggg.perbaikiiiii trusssss smpe bikin emosiiiiii,bner bner aplikasi ini klo lagi di butuhin darurat mau transaksi bnyak kndala parahhhhhhhhhhhhhggggggg.perbaikiiiii trusssss smpe bikin emosiiiiii,bner bner aplikasi ini klo lagi di butuhin darurat mau transaksi bnyak kndala parahhhhhhhhhhhhhgggggggperbaikiiiii trusssss smpe bikin emosiiiiii,benar benar aplikasi ini kalo lagi di butuhin darurat mau transaksi banyak kndala parahhhhhhhhhhhhhgggggggperbaikiiiii trusssss sampai bikin emosiiiiii
Wonder terlalu sering gangguan msuk nya lemot,wonder terlalu sering gangguan msuk nya lemot,wonder terlalu sering gangguan msuk nya lemot,wonder terlalu sering gangguan masuk nya lemot
"Payah gangguan gangguan, transaksi akhirnya dobel, buka yg lain lancar buka WONDER LELET","payah gangguan gangguan, transaksi akhirnya dobel, buka yg lain lancar buka wonder lelet",payah gangguan gangguan transaksi akhirnya dobel buka yg lain lancar buka wonder lelet,payah gangguan gangguan transaksi akhirnya dobel buka yang lain lancar buka wonder lelet
Banyak gangguan nya..,banyak gangguan nya..,banyak gangguan nya,banyak gangguan nya
"Aplikasi menguras energi, emosi dan waktu Saat login halaman yang termuat muncul pesan sesi anda berakhir....lah kan baru login Pakai BNI mobile banking lancar tanpa kendala Tapi ultima harus pindah wondr sampai 31 desember bikin panik kalau banyak kendala Halo BNI, nasabah belum tentu punya hp yang spek nya tinggi , tolong disesuaikan","aplikasi menguras energi, emosi dan waktu saat login halaman yang termuat muncul pesan sesi anda berakhir....lah kan baru login pakai bni mobile banking lancar tanpa kendala tapi ultima harus pindah wondr sampai 31 desember bikin panik kalau banyak kendala halo bni, nasabah belum tentu punya hp yang spek nya tinggi , tolong disesuaikan",aplikasi menguras energi emosi dan waktu saat login halaman yang termuat muncul pesan sesi anda berakhirlah kan baru login pakai bni mobile banking lancar tanpa kendala tapi ultima harus pindah wondr sampai  desember bikin panik kalau banyak kendala halo bni nasabah belum tentu punya hp yang spek nya tinggi  tolong disesuaikan,aplikasi menguras energi emosi dan waktu saat login halaman yang termuat muncul pesan sesi anda berakhirlah kan baru login pakai bni mobile banking lancar tanpa kendala tapi ultima harus pindah wondr sampai desember bikin panik kalau banyak kendala halo bni nasabah belum tentu punya hp yang spek nya tinggi tolong disesuaikan
Sebulan ini kenapa sering bermasalah ya? Gabisa login dll,sebulan ini kenapa sering bermasalah ya? gabisa login dll,sebulan ini kenapa sering bermasalah ya gabisa login dll,sebulan ini kenapa sering bermasalah ya enggak bisa login dll
gangguan terus ganggu kerjaan jadinya,gangguan terus ganggu kerjaan jadinya,gangguan terus ganggu kerjaan jadinya,gangguan terus ganggu pekerjaan jadinya
Perbaikan trus.. bosan pakek nya,perbaikan trus.. bosan pakek nya,perbaikan trus bosan pakek nya,perbaikan terus bosan pakai nya
Setiap cuaca hujan aplikasi ini tidak dpt melakukan transaksi.,setiap cuaca hujan aplikasi ini tidak dpt melakukan transaksi.,setiap cuaca hujan aplikasi ini tidak dpt melakukan transaksi,setiap cuaca hujan aplikasi ini tidak dapat melakukan transaksi
Aplikasi eror mulu,aplikasi eror mulu,aplikasi eror mulu,aplikasi eror mulu
Sangat memuaskan,sangat memuaskan,sangat memuaskan,sangat memuaskan
